2020-11-29T12:22:45.378Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-7.png
2020-11-29T12:22:45.379Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-7.png'...
2020-11-29T12:22:45.384Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-8.png
2020-11-29T12:22:45.386Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-8.png'...
2020-11-29T12:22:45.403Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-9.png
2020-11-29T12:22:45.405Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-9.png'...
2020-11-29T12:22:45.425Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-11.png
2020-11-29T12:22:45.428Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-1.png
2020-11-29T12:22:45.428Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-1.png'...
2020-11-29T12:22:45.431Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-2.png
2020-11-29T12:22:45.433Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-2.png'...
2020-11-29T12:22:45.434Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-2.png'...
2020-11-29T12:22:45.443Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-3.png
2020-11-29T12:22:45.443Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-4.png
2020-11-29T12:22:45.445Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-4.png'...
2020-11-29T12:22:45.447Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-4.png'...
2020-11-29T12:22:45.455Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-5.png
2020-11-29T12:22:45.456Z: info - Request: GET /docs/1-getting-started/images/setup-osx-1.png
2020-11-29T12:22:45.457Z: info - Request: GET /docs/1-getting-started/images/setup-osx-2.png
2020-11-29T12:22:45.459Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-osx-2.png'...
2020-11-29T12:22:45.461Z: info - Request: GET /docs/1-getting-started/images/setup-osx-3.png
2020-11-29T12:22:45.463Z: info - Request: GET /docs/1-getting-started/images/bash-version.png
2020-11-29T12:22:45.465Z: info - Request: GET /docs/1-getting-started/images/moving-to-home.png
2020-11-29T12:22:45.466Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:45.468Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:45.469Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:45.470Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:45.472Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:45.475Z: info - Request: GET /docs/1-getting-started/images/ls.png
2020-11-29T12:22:45.478Z: info - Request: GET /docs/1-getting-started/images/ls-music.png
2020-11-29T12:22:45.479Z: info - Request: GET /docs/1-getting-started/images/ls-movies-apps.png
2020-11-29T12:22:45.480Z: info - Request: GET /docs/1-getting-started/images/ls-applications.png
2020-11-29T12:22:45.481Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-applications.png'...
2020-11-29T12:22:45.482Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-applications.png'...
2020-11-29T12:22:45.484Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-applications.png'...
2020-11-29T12:22:45.485Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-applications.png'...
2020-11-29T12:22:45.488Z: info - Request: GET /docs/1-getting-started/images/ls-applications-windows-error.png
2020-11-29T12:22:45.489Z: info - Request: GET /docs/1-getting-started/images/ls-downloads.png
2020-11-29T12:22:45.489Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-downloads.png'...
2020-11-29T12:22:45.490Z: info - Request: GET /docs/1-getting-started/images/ls-applications-windows.png
2020-11-29T12:22:45.492Z: info - Request: GET /docs/1-getting-started/images/echo-hello-shell.png
2020-11-29T12:22:45.493Z: info - Request: GET /docs/1-getting-started/images/echo-home.png
2020-11-29T12:22:45.498Z: info - Serving file '../../../website/public/docs/1-getting-started/images/echo-home.png'...
2020-11-29T12:22:45.498Z: info - Serving file '../../../website/public/docs/1-getting-started/images/echo-home.png'...
2020-11-29T12:22:45.500Z: info - Serving file '../../../website/public/docs/1-getting-started/images/echo-home.png'...
2020-11-29T12:22:45.503Z: info - Serving file '../../../website/public/docs/1-getting-started/images/echo-home.png'...
2020-11-29T12:22:45.503Z: info - Request: GET /docs/1-getting-started/images/open-command.png
2020-11-29T12:22:45.507Z: info - Request: GET /docs/1-getting-started/images/open-current-directory.png
2020-11-29T12:22:45.509Z: info - Request: GET /docs/1-getting-started/images/shell-commands.png
2020-11-29T12:22:45.510Z: info - Serving file '../../../website/public/docs/1-getting-started/images/shell-commands.png'...
2020-11-29T12:22:45.510Z: info - Serving file '../../../website/public/docs/1-getting-started/images/shell-commands.png'...
2020-11-29T12:22:45.511Z: info - Serving file '../../../website/public/docs/1-getting-started/images/shell-commands.png'...
2020-11-29T12:22:45.515Z: info - Request: GET /svg/calendar.svg
2020-11-29T12:22:45.516Z: info - Serving file '../../../website/public/svg/calendar.svg'...
2020-11-29T12:22:45.519Z: info - Request: GET /svg/edit.svg
2020-11-29T12:22:45.520Z: info - Serving file '../../../website/public/svg/edit.svg'...
2020-11-29T12:22:52.711Z: info - Request: GET /docs/1-getting-started/
2020-11-29T12:22:52.711Z: debug - Adding default page value 'index.html' to url '/docs/1-getting-started/'
2020-11-29T12:22:52.711Z: info - Serving file '../../../website/public/docs/1-getting-started/index.html'...
2020-11-29T12:22:52.745Z: info - Request: GET /book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css
2020-11-29T12:22:52.745Z: info - Serving file '../../../website/public/book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css'...
2020-11-29T12:22:52.749Z: info - Request: GET /en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js
2020-11-29T12:22:52.749Z: info - Serving file '../../../website/public/en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js'...
2020-11-29T12:22:52.769Z: info - Request: GET /svg/menu.svg
2020-11-29T12:22:52.770Z: info - Serving file '../../../website/public/svg/menu.svg'...
2020-11-29T12:22:52.774Z: info - Request: GET /docs/1-getting-started/images/windows-shell.png
2020-11-29T12:22:52.776Z: info - Serving file '../../../website/public/docs/1-getting-started/images/windows-shell.png'...
2020-11-29T12:22:52.778Z: info - Request: GET /docs/1-getting-started/images/mac-shell.png
2020-11-29T12:22:52.779Z: info - Request: GET /docs/1-getting-started/images/linux-shell.png
2020-11-29T12:22:52.779Z: info - Serving file '../../../website/public/docs/1-getting-started/images/linux-shell.png'...
2020-11-29T12:22:52.781Z: info - Request: GET /docs/1-getting-started/images/windows-search-command-prompt.png
2020-11-29T12:22:52.781Z: info - Request: GET /docs/1-getting-started/images/windows-shell-whoami.png
2020-11-29T12:22:52.782Z: info - Request: GET /docs/1-getting-started/images/osx-search-terminal.png
2020-11-29T12:22:52.782Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
2020-11-29T12:22:52.783Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
2020-11-29T12:22:52.787Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
2020-11-29T12:22:52.790Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
2020-11-29T12:22:52.800Z: info - Request: GET /docs/1-getting-started/images/osx-shell-whoami.png
2020-11-29T12:22:52.802Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-shell-whoami.png'...
